ROLL,CLASS11LAN,CLASS11BLD,CLASS12LAN,CLASS12BLD,CLASS20LAN,CLASS20BLD,CLASS30LAN,CLASS30BLD,CLASS31LAN,CLASS31BLD,CLASS32LAN,CLASS32BLD,CLASS40LAN,CLASS40BLD,CLASS51LAN,CLASS51BLD,CLASS52LAN,CLASS52BLD,CLASS60LAN,CLASS60BLD,CLASS70LAN,CLASS70BLD,CLASS80LAN,CLASS80BLD,YEAR
7862,80100,418900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
7870,125200,238900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
7880,89200,189100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
7885,83700,203700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
7940,86400,170300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
7950,86400,350300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
7960,86400,224100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
7970,86400,501100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
7980,86400,151500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
7990,86400,286500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8010,79700,248900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8020,92000,192500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8030,73100,162900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8040,73300,118700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8050,79900,127000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8060,0,0,0,0,0,0,328400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8070,0,0,59900,353400,0,0,267400,330900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8100,0,0,0,0,0,0,342100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8110,108000,121400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8115,0,0,0,0,0,0,19400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8200,0,0,0,0,0,0,291200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8210,0,0,0,0,0,0,37200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8300,0,0,0,0,0,0,666100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6100,0,0,0,0,0,2021
8400,60000,231600,0,0,0,0,216000,87500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8401,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8405,79900,49400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8410,79900,334900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8420,0,0,0,0,0,0,395600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8610,0,0,0,0,0,0,317200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8620,113000,147900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8630,59900,125100,0,0,0,0,73600,55200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8640,86200,120300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8650,86200,227500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
8660,0,0,0,0,0,0,357200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
